id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
154243,LUSCIOUS ROOF GARDEN IN THE CENTER!,741851,Yagos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98574,23.73323,Entire home/apt,55,3,179,2021-11-25,1.41,1,359,4,00000532953
155654,"Acropolis Cosy Apartment, Koukaki",712602,Nikos,,ΑΚΡΟΠΟΛΗ,37.96828,23.72906,Entire home/apt,60,2,31,2021-10-07,0.34,2,352,4,00000429243
157869,Kallimarmaro 2B/R Apartment,650923,AthensApart,,ΣΤΑΔΙΟ,37.966,23.74443,Entire home/apt,61,1,173,2021-10-01,1.39,8,321,2,00001327931
167416,"Apartment in Central Athens, Greece",797823,George,,ΠΑΤΗΣΙΑ,38.00876,23.73967,Entire home/apt,74,14,0,,,1,0,0,
179705,Great Central location - Athens,860485,Theodore & Reshma,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97436,23.73366,Entire home/apt,35,2,117,2021-10-24,1.00,2,323,5,
185936,New apartmenrt in Athens!,885156,E,,ΓΚΑΖΙ,37.97858,23.70967,Private room,30,7,0,,,1,0,0,
196935,Large living space near Syntagma,860485,Theodore & Reshma,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97401,23.73174,Entire home/apt,36,2,51,2021-10-18,0.41,2,323,4,
251361,A relaxing house overlooking Athens,592616,Andreas,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01873,23.74465,Entire home/apt,133,5,1,2013-05-23,0.01,1,365,0,
270611,An Oasis in the Heart of Athens,1416651,Paul,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98586,23.72432,Entire home/apt,40,3,42,2021-11-28,0.37,1,362,10,00000040022
270954,"Apt next to Plaka, roof top with views!",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,82,2,24,2021-10-17,0.21,40,305,5,
270973,Boutique apt. Balconies. Roof top.,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,82,2,13,2021-11-08,0.15,40,315,7,
281158,"Center 1, Metro 30m, Satelite TV",640163,Nikos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99253,23.73115,Entire home/apt,45,2,57,2020-02-29,0.48,9,144,0,00000251837
306234,Athens AVATON - Parthenon Suite,1574876,Agis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97851,23.72479,Entire home/apt,240,2,481,2021-12-12,4.31,3,290,42,00000982890
308157,#AH32 GREY STUDIO,1585338,Flavia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74311,Entire home/apt,58,4,2,2016-04-05,0.03,15,365,0,00001218523
360940,Vintage Design Flat downtown!,1824707,Dimitrios,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.0061,23.73453,Entire home/apt,58,2,21,2017-07-22,0.21,1,365,0,
361393,Hermes Historical Center apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97774,23.73,Entire home/apt,49,2,195,2019-02-24,1.66,5,31,0,EL800835933
401423,Apartment with Leafy Backyard Steps from the Acropolis,745805,Ralou,,ΑΚΡΟΠΟΛΗ,37.96826,23.72777,Entire home/apt,65,2,448,2021-12-12,3.83,1,343,19,00000492384
408907,Downtown 70m² top floor apartment,2035514,Ranina,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98395,23.72165,Entire home/apt,50,1,169,2019-06-08,1.45,1,0,0,00000040427
411452,Everyone who stays leaves happy!,944962,Foris,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99338,23.77155,Entire home/apt,32,7,332,2021-10-03,2.86,2,358,7,
441091,Archaeological Museum apartment with balcony,2185512,Jenny,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99383,23.7274,Entire home/apt,60,7,24,2019-11-29,0.21,1,365,0,
448768,"House of Colours, Athens City Centre",2228424,Stefanos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9916,23.72902,Entire home/apt,55,7,68,2021-11-20,0.60,1,78,4,00000143162
452159,Amazing view - 3 bedr. sleep 6-8/p,640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00175,23.7486,Entire home/apt,1807,2,56,2020-01-03,0.54,9,144,0,00000172910
469140,Our first love #01 | Thiseio Residencies,2289590,Live In Athens,,ΘΗΣΕΙΟ,37.97665,23.7185,Entire home/apt,89,2,60,2020-11-02,0.51,13,301,0,00000546911
470219,Our Playground #02 | Thiseio Residencies,2289590,Live In Athens,,ΘΗΣΕΙΟ,37.97525,23.71957,Entire home/apt,64,1000,16,2020-10-12,0.15,13,251,0,00001176980
474719,Artemis Historical Center cosy apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97952,23.72999,Entire home/apt,50,1,249,2021-10-13,2.21,5,0,2,EL800835933
478626,Studio for 3 in the heart of Athens,2370772,Sofia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97843,23.72564,Entire home/apt,120,1,1,2015-06-12,0.01,9,365,0,0206K24000344201
484852,Cool apartment for urban lovers,408081,Dimitrios,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99534,23.74058,Entire home/apt,23,5,52,2021-06-28,0.45,1,206,1,00028740000
484925,IN THE SHADOW OF ACROPOLIS-2 B/R,2371962,Rania,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97291,23.72739,Entire home/apt,125,1,262,2021-11-28,2.26,2,288,29,00000223898
495212,MODERN APARTMENT NEAR ACROPOLIS,2446066,Yiagos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96716,23.72676,Entire home/apt,75,7,12,2021-11-14,0.19,1,274,2,00000072610
496416,"Walk to Plaka, terrace,garden, WiFi",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,76,2,8,2021-10-16,0.09,40,305,2,
496503,"2 interconnected apts, walk to all sites!",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,159,2,8,2017-09-16,0.09,40,349,0,
496561,In the shadow of Acropolis,2371962,Rania,,ΑΚΡΟΠΟΛΗ,37.97277,23.72745,Entire home/apt,80,1,17,2021-08-08,0.27,2,362,2,00000223898
497502,Design studio & lemon tree garden!!,2456294,Athens Green Apartments,,ΣΤΑΔΙΟ,37.96887,23.74274,Entire home/apt,127,1,9,2017-10-03,0.09,7,0,0,00000376197
498604,"Acropolis, Koukaki apartment",2461282,Marilia,,ΑΚΡΟΠΟΛΗ,37.96341,23.71816,Entire home/apt,40,3,102,2021-09-01,0.91,1,329,5,00001098714
502779,"Bauhaus building, 5 apts, 3 levels. Next to Plaka.",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,417,2,37,2021-11-29,0.33,40,305,16,
502842,"1 bedrm apt, terrace, walk to Plaka",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,76,2,7,2021-10-17,0.09,40,307,3,
502879,"Garden apt, next to Plaka. Roof top terrace!",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,76,2,20,2021-10-17,0.19,40,310,4,
505720,"Central,spacious,pine forest view!!",2456294,Athens Green Apartments,,ΣΤΑΔΙΟ,37.9688,23.74276,Entire home/apt,121,1,18,2018-09-04,0.17,7,0,0,00000375932
505769,Athens Green Apartment with garden!,2456294,Athens Green Apartments,,ΣΤΑΔΙΟ,37.9688,23.74276,Entire home/apt,58,1,5,2017-01-15,0.05,7,0,0,00000376040
536123,Acropolis charming apt with balcony,1418201,D & Y Boutique Athens,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96648,23.7276,Entire home/apt,62,3,35,2021-11-16,0.32,40,365,5,
536197,"Plaka, modern one bed apt, Cathedral Sq.",1418201,D & Y Boutique Athens,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97506,23.73068,Entire home/apt,88,2,32,2016-08-29,0.28,40,266,0,
540986,Cosy central studio with garden!!,2456294,Athens Green Apartments,,ΣΤΑΔΙΟ,37.9688,23.74275,Entire home/apt,131,1,98,2018-11-04,0.93,7,0,0,00000376109
541001,Design apartment balcony + garden!!,2456294,Athens Green Apartments,,ΣΤΑΔΙΟ,37.9688,23.74275,Entire home/apt,121,1,4,2015-05-31,0.04,7,0,0,00000397480
545520,Garden Delight in the city center!!,2456294,Athens Green Apartments,,ΣΤΑΔΙΟ,37.96887,23.74274,Entire home/apt,83,1,76,2017-07-15,0.68,7,0,0,00000376142
545616,Design apartment near Syntagma!!,2456294,Athens Green Apartments,,ΣΤΑΔΙΟ,37.9688,23.74275,Entire home/apt,170,1,0,,,7,0,0,00000397570
565235,10min walk from ACROPOLIS !!!,2779638,John,,ΠΕΤΡΑΛΩΝΑ,37.97,23.71237,Entire home/apt,60,3,14,2021-07-24,0.15,1,358,1,00000500411
571492,"Acropolis View Alpha+ Penthouse Walk, Views, WiFI",2810938,Carole,,ΓΟΥΒΑ,37.96132,23.73912,Entire home/apt,294,3,14,2021-11-15,0.13,4,80,3,00001188074
571876,"Vintage Apartment Athens, Plaka (Historic Center)",2814842,Anna,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97538,23.73264,Entire home/apt,40,2,370,2021-11-08,3.30,1,338,20,00000439557
572435,Acropolis Beta by RealGreece,2810938,Carole,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96302,23.73973,Entire home/apt,189,3,10,2018-06-30,0.12,4,90,0,00001188095
590287,Amazing view at quiet/safe neighborhood near metro,2602995,V,,ΠΡΟΜΠΟΝΑ,38.02512,23.73536,Entire home/apt,28,2,246,2020-11-16,2.15,1,205,0,00000168992
593916,OLD CITY - ACROPOLIS BEST VIEW,708364,Marina,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97481,23.72818,Entire home/apt,70,2,142,2021-09-02,1.26,2,17,13,00000365334
596137,45min to Airport/20min to Center A,2946672,Labis,,ΓΟΥΔΙ,37.98642,23.76555,Entire home/apt,35,3,66,2016-12-21,0.58,1,268,0,00000969960
631150,Great design Acropolis apartment,3137668,Efi,,ΑΚΡΟΠΟΛΗ,37.96825,23.72839,Entire home/apt,75,2,188,2021-11-14,1.75,2,352,20,00000600052
641721,Beach Summer House,3206172,Takis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97807,23.73326,Entire home/apt,600,7,0,,,1,365,0,
644785,Modern apartment in city centre - great location,2425678,Rich,,ΓΚΑΖΙ,37.97607,23.7097,Entire home/apt,37,2,281,2021-12-19,3.87,1,226,41,00001106800
653639,"2 interconnected apts, roof top, views!",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.98013,23.72354,Entire home/apt,159,2,28,2021-11-10,0.31,40,349,3,
681173,Acropolis view - Ideal for longer stays,3468523,Yannis,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98731,23.73782,Entire home/apt,50,5,39,2021-10-29,0.51,1,297,8,00000323473
688483,Perfect Guest Room near Acropolis!,3514860,Kalliopi,,ΣΤΑΔΙΟ,37.96635,23.73546,Private room,25,2,110,2021-10-18,0.98,2,268,6,
691025,Value for money in Heart of Athens!,3514860,Kalliopi,,ΣΤΑΔΙΟ,37.96615,23.73463,Entire home/apt,55,2,57,2019-08-12,0.51,2,178,0,
695173,Unique Central Artistic Flat Athens,3557919,Soula,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96341,23.72875,Entire home/apt,90,5,224,2021-11-21,2.40,1,246,4,00000007859
699974,"SMALL FLAT NEAR STREFI HILL, ATHENS",2942620,FANI And GEORGE,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.987904,23.74078,Entire home/apt,39,3,84,2021-08-31,0.75,1,109,1,00000116106
702480,"Bright, Calming Retreat with a Balcony",2539665,Pygmalion,,ΚΟΛΩΝΟΣ,38.0011,23.71626,Entire home/apt,31,2,469,2021-12-03,4.19,10,351,22,00001383070
709960,Vintage apartment in historic center,2534881,Haris,,ΘΗΣΕΙΟ,37.97385,23.71567,Entire home/apt,79,5,127,2021-11-09,1.21,2,150,7,00000485184
711554,By the hill,3625710,Ilias,,ΑΚΡΟΠΟΛΗ,37.96344,23.71838,Entire home/apt,51,3,307,2021-12-07,2.76,2,346,21,00001366243
718941,Acropolis terrace 4 Bd 4 Ba Family Perfect,2810938,Carole,,ΠΑΓΚΡΑΤΙ,37.96679,23.75004,Entire home/apt,310,3,6,2018-06-01,0.05,4,84,0,00001188027
724485,5ΤΗ FLOOR WITH A VIEW DOWNTOWN,3745284,Elpidoforos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98985,23.73779,Entire home/apt,22,3,463,2020-03-16,4.15,1,38,0,00000564690
725215,"Center 2, Metro 30m, Satelite TV",640163,Nikos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99252,23.73112,Entire home/apt,45,2,16,2020-02-07,0.15,9,113,0,00000256347
726412,Lovely room in historic center,2534881,Haris,,ΠΕΤΡΑΛΩΝΑ,37.97313,23.715,Private room,25,19,4,2017-02-20,0.04,2,5,0,
727374,Casavathel1 Athens Center Apartment,3756353,Thelma,,ΝΙΡΒΑΝΑ,38.01501,23.72582,Entire home/apt,27,3,452,2021-12-17,4.07,2,326,37,00000241782
751280,Metro  Acropolis  !!!!!!!!!!!!!!,3950691,Claudia,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.966965,23.727932,Entire home/apt,61,6,87,2021-06-06,0.81,1,356,1,00000072855
752058,an art -deco architecture atelier business ready,3954884,Τimmi,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00398,23.7319,Entire home/apt,46,3,177,2021-11-20,1.67,1,0,5,00000254678
758870,Discover Athens! Central ap/ment!!,3999271,Emily,,ΚΕΡΑΜΕΙΚΟΣ,37.98168,23.72275,Entire home/apt,59,1,73,2017-05-03,0.70,2,90,0,
767272,Luxury Gallery garden house,964919,Rebecca,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98447,23.72112,Entire home/apt,350,3,2,2017-06-09,0.02,1,365,0,
778192,WAREHOUSE 7 Boutique Designed Apartments,556615,Miglen,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98518,23.72926,Entire home/apt,67,2,50,2021-10-15,0.46,12,365,3,
783955,New- A beautiful apartment,4134047,Theo,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98857,23.73404,Entire home/apt,70,3,0,,,1,362,0,
784414,Nice Apt 98m2 Center Athens,4136310,Maria-Louisa,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9986,23.72828,Entire home/apt,30,1,1,2016-08-15,0.02,1,365,0,00000112393
800755,❤️The 1 and only Acropolis penthouse!❤️,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97835,23.72368,Entire home/apt,297,2,282,2021-11-19,2.62,2,353,47,00000264904
807239,Appartment @ Kypriadou district,4248171,Natasha,,ΑΝΩ ΠΑΤΗΣΙΑ,38.02081,23.74098,Entire home/apt,40,3,5,2019-06-03,0.06,1,198,0,
809874,Wonderfull Penthouse!!,4259738,George,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96215,23.72179,Entire home/apt,74,3,77,2021-09-25,0.73,1,269,4,
814119,Athens Greece. Kolonaki City Centre,4277991,Lietta,,ΚΟΛΩΝΑΚΙ,37.97947,23.75115,Entire home/apt,99,1,3,2021-09-20,0.07,1,365,1,00000178989
814643,DRINA,4280158,Giorgos,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98518,23.75333,Entire home/apt,35,3,30,2019-06-14,0.32,1,7,0,
878526,Hilton Apartment with Roof Garden,4544938,Artemis,,ΙΛΙΣΙΑ,37.97868,23.75424,Entire home/apt,60,2,23,2019-09-15,0.26,1,297,0,419665
886724,Luxury Boutique Appartment -Athens,4700824,Athina,,ΚΥΨΕΛΗ,37.99745,23.73973,Entire home/apt,45,3,19,2018-07-12,0.21,1,363,0,00000052101
891184,live@the historic center,4723074,Ilias,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98248,23.72045,Private room,40,2,46,2018-08-30,0.43,2,236,0,00000146072
896212,Living like in a cottage in the center of Athens,4777984,Romanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98844,23.73845,Entire home/apt,40,2,351,2021-12-21,3.27,17,283,35,00000206136
905315,Dream Studio hidden by Μulti level Garden,4777984,Romanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98841,23.73713,Entire home/apt,41,2,367,2021-11-29,3.46,17,342,14,00000206001
912287,New cozy  economic great location,4895067,Marinos,,ΑΝΩ ΚΥΨΕΛΗ,38.00319,23.74494,Entire home/apt,18,30,116,2021-12-21,1.09,1,154,3,00000492486
912425,Spacious apartment in bustling neighborhood,4895605,Isabella,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99374,23.73083,Entire home/apt,55,7,56,2021-08-09,1.02,1,362,1,00000348986
918776,Athens Soul Apartments Psiri,4935030,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97805,23.72581,Entire home/apt,40,3,392,2021-12-05,3.66,3,218,36,ΑΜΑ 00000023535
918812,Athens Soul Apartments Plaka,4935030,Dimitris,,ΑΚΡΟΠΟΛΗ,37.97109,23.72954,Entire home/apt,32,2,363,2020-10-15,3.41,3,0,0,ΑΜΑ 00000004460
940213,3 apts in 1 building. Roof terrace. Next to Plaka.,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,236,2,23,2020-03-08,0.23,40,339,0,
947552,"Smart, simple and comfy in Kolonaki",5136160,Vasileios,,ΚΟΛΩΝΑΚΙ,37.97911,23.74553,Entire home/apt,150,4,36,2021-12-04,0.34,1,109,4,00000243065
956127,Dream Penthouse in Athens-Kolonaki,5044938,"Nicoletta, Christina, Alexandra",,ΚΟΛΩΝΑΚΙ,37.97686,23.74639,Entire home/apt,180,2,185,2021-11-25,1.77,2,247,10,11587840100
956538,Colors in the heart of Athens,5198545,Maro,,ΚΕΡΑΜΕΙΚΟΣ,37.98058,23.72337,Entire home/apt,90,7,11,2016-04-13,0.11,1,83,0,00000254190
968409,MID- LONG TERM IDEAL FOR EXECUTIVES,460553,Johanna,,ΓΟΥΔΙ,37.9822,23.75651,Entire home/apt,65,2,12,2016-11-13,0.13,1,365,0,
974442,7th floor apartment with great view,3349638,Stefanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98857,23.7464,Entire home/apt,34,3,5,2018-07-31,0.08,3,248,0,00001331116
1004858,Academia Loft - Apartment with Pool,5527135,George,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98599,23.71586,Entire home/apt,150,2,32,2020-10-17,0.31,1,0,0,
1046994,4 apts over 2 levels. Roof top. Next to Plaka!,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,327,2,24,2021-10-21,0.27,40,308,4,
1085660,Stylish Apartment w/Acropolis Views,4382275,Tzeli (Angeliki),,ΝΕΟΣ ΚΟΣΜΟΣ,37.96347,23.73145,Entire home/apt,50,3,33,2014-06-13,0.31,1,205,0,
1090225,"Center 3, (3-bedr) Metro 50m,Center",640163,Nikos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99463,23.72933,Entire home/apt,50,2,21,2019-11-13,0.20,9,113,0,00000173233
1094063,Modern apartment under Acropolis,6010917,Ilias & Danae,,ΑΚΡΟΠΟΛΗ,37.96703,23.72434,Entire home/apt,65,1,344,2021-09-28,3.29,7,92,3,00001352444
1116076,Central Location,6125356,Lenka & Greg,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97723,23.72841,Entire home/apt,60,2,65,2021-11-01,0.62,1,364,4,00000375739
1122600,Terrace loft in historic Athens,6158911,Maria,,ΘΗΣΕΙΟ,37.97713,23.72158,Entire home/apt,55,2,202,2019-10-14,2.26,1,284,0,ΑΜΑ 00000444873
1154316,Filopappos hill garden house,6325987,Persefoni,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96387,23.72075,Entire home/apt,60,2,108,2019-11-08,1.04,1,364,0,
1177492,Trad Studio Appt -  Central Athens,6442400,Rio,,ΖΑΠΠΕΙΟ,37.967319,23.735407,Entire home/apt,35,1,753,2021-12-10,7.23,1,343,39,00001119575
1208210,LIVE IN STYLE UNDER THE ACROPOLIS RUINS,594546,Magda,,ΑΚΡΟΠΟΛΗ,37.96845,23.72873,Entire home/apt,55,2,287,2021-11-14,2.77,2,218,24,00001135150
1211595,Cozy apt in central Athens - Mets,6615488,Yanni,,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,37.96466,23.73739,Entire home/apt,30,3,8,2015-10-12,0.08,1,298,0,
1214643,Sweet Apartment Near Panormou Metro,6630475,Ageliki,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99527,23.76651,Entire home/apt,40,2,171,2020-09-11,1.68,1,185,0,00000293367
1215055,House at the Foothills of Acropolis,13115279,Greece You Around,,ΑΚΡΟΠΟΛΗ,37.97065,23.72931,Entire home/apt,192,2,236,2021-11-08,2.43,7,277,16,00000298682
1216176,The Breathtaking View of Acropolis,4549583,Panos,,ΑΚΡΟΠΟΛΗ,37.97039,23.7288,Entire home/apt,220,3,202,2021-11-11,1.96,1,344,22,00000105150
1219269,KOLONAKI  THE SAFEST NEIGHBORHOOD,6651770,Eva,,ΛΥΚΑΒΗΤΤΟΣ,37.97972,23.74073,Entire home/apt,27,3,10,2020-01-20,0.10,2,0,0,
