zip,borough,neighborhood
10031,Manhattan,Inwood and Washington Heights
10032,Manhattan,Inwood and Washington Heights
10033,Manhattan,Inwood and Washington Heights
10034,Manhattan,Inwood and Washington Heights
10040,Manhattan,Inwood and Washington Heights
10002,Manhattan,Lower East Side
10003,Manhattan,Lower East Side
10009,Manhattan,Lower East Side
10004,Manhattan,Lower Manhattan
10005,Manhattan,Lower Manhattan
10006,Manhattan,Lower Manhattan
10007,Manhattan,Lower Manhattan
10038,Manhattan,Lower Manhattan
10278,Manhattan,Lower Manhattan
10280,Manhattan,Lower Manhattan
10115,Manhattan,Morningside Heights
10282,Manhattan,Tribeca
10021,Manhattan,Upper East Side
10028,Manhattan,Upper East Side
10044,Manhattan,Upper East Side
10065,Manhattan,Upper East Side
10075,Manhattan,Upper East Side
10128,Manhattan,Upper East Side
10023,Manhattan,Upper West Side
10024,Manhattan,Upper West Side
10025,Manhattan,Upper West Side
10069,Manhattan,West Side
07302,New Jersey,Jersey City
07302,New Jersey,Jersey City
07304,New Jersey,Jersey City
07305,New Jersey,Jersey City
07306,New Jersey,Jersey City
07306,New Jersey,Jersey City
07307,New Jersey,Jersey City
07310,New Jersey,Jersey City
11365,Queens,Central Queens
11366,Queens,Central Queens
11367,Queens,Central Queens
11412,Queens,Jamaica
11423,Queens,Jamaica
11432,Queens,Jamaica
11433,Queens,Jamaica
11434,Queens,Jamaica
11435,Queens,Jamaica
11436,Queens,Jamaica
11109,Queens,Long Island City
11354,Queens,North Queens
11355,Queens,North Queens
11356,Queens,North Queens
11357,Queens,North Queens
11358,Queens,North Queens
11360,Queens,North Queens
11361,Queens,Northeast Queens
11362,Queens,Northeast Queens
11363,Queens,Northeast Queens
11364,Queens,Northeast Queens
11101,Queens,Northwest Queens
11102,Queens,Northwest Queens
11103,Queens,Northwest Queens
11104,Queens,Northwest Queens
11105,Queens,Northwest Queens
11106,Queens,Northwest Queens
11691,Queens,Rockaways
11692,Queens,Rockaways
11693,Queens,Rockaways
11694,Queens,Rockaways
11697,Queens,Rockaways
11004,Queens,Southeast Queens
11411,Queens,Southeast Queens
11413,Queens,Southeast Queens
11422,Queens,Southeast Queens
11426,Queens,Southeast Queens
11427,Queens,Southeast Queens
11428,Queens,Southeast Queens
11429,Queens,Southeast Queens
11414,Queens,Southwest Queens
11415,Queens,Southwest Queens
11416,Queens,Southwest Queens
11417,Queens,Southwest Queens
11418,Queens,Southwest Queens
11419,Queens,Southwest Queens
11420,Queens,Southwest Queens
11421,Queens,Southwest Queens
11374,Queens,West Central Queens
11375,Queens,West Central Queens
11379,Queens,West Central Queens
11385,Queens,West Central Queens
11368,Queens,West Queens
11369,Queens,West Queens
11370,Queens,West Queens
11372,Queens,West Queens
11373,Queens,West Queens
11377,Queens,West Queens
11378,Queens,West Queens
10314,Staten Island,Mid-Island
10302,Staten Island,Port Richmond
10303,Staten Island,Port Richmond
10310,Staten Island,Port Richmond
10306,Staten Island,South Shore
10307,Staten Island,South Shore
10308,Staten Island,South Shore
10309,Staten Island,South Shore
10312,Staten Island,South Shore
10301,Staten Island,Stapleton and St. George
10304,Staten Island,Stapleton and St. George
10305,Staten Island,Stapleton and St. George
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
